Film,U.S. release date,Box office gross-U.S. and Canada,Box office gross-Other territories,Box office gross-Worldwide,Budget
Iron Man,"May 2, 2008",319034126,266762121,585796247,140000000
The Incredible Hulk,"June 13, 2008",134806913,129964083,264770996,150000000
Iron Man 2,"May 7, 2010",312433331,311500000,623933331,200000000
Thor,"May 6, 2011",181030624,268295994,449326618,150000000
Captain America: The First Avenger,"July 22, 2011",176654505,193915269,370569774,140000000
Marvel's The Avengers,"May 4, 2012",623357910,897180626,1520538536,220000000
Iron Man 3,"May 3, 2013",409013994,806563211,1215577205,200000000
Thor: The Dark World,"November 8, 2013",206362140,438421000,644783140,170000000
Captain America: The Winter Soldier,"April 4, 2014",259766572,454654931,714421503,177000000
Guardians of the Galaxy,"August 1, 2014",333718600,439631547,773350147,170000000
Avengers: Age of Ultron,"May 1, 2015",459005868,946012180,1405018048,444000000
Ant-Man,"July 17, 2015",180202163,339109802,519311965,130000000
Captain America: Civil War,"May 6, 2016",408084349,746962067,1155046416,250000000
Doctor Strange,"November 4, 2016",232641920,445154156,677796076,165000000
Guardians of the Galaxy Vol. 2,"May 5, 2017",389813101,473942950,863756051,200000000
Spider-Man: Homecoming,"July 7, 2017",334201140,545965784,880166924,175000000
Thor: Ragnarok,"November 3, 2017",315058289,540243517,855301806,180000000
Black Panther,"February 16, 2018",700426566,649499517,1349926083,200000000
Avengers: Infinity War,"April 27, 2018",678815482,1373599557,2052415039,400000000
Ant-Man and the Wasp,"July 6, 2018",216648740,406025399,622674139,162000000
Captain Marvel,"March 8, 2019",426829839,704586607,1131416446,175000000
Avengers: Endgame,"April 26, 2019",858373000,1941066100,2799439100,400000000
Spider-Man: Far From Home,"July 2, 2019",390532085,741395911,1131927996,160000000
Black Widow,"July 9, 2021",183651655,196100000,79751655,200000000
Shang-Chi and the Legend of the Ten Rings,"September 3, 2021",224543292,207700000,432243292,200000000
Eternals,"November 5, 2021",164870234,237194665,402064899,236200000
Spider-Man: No Way Home,"December 17, 2021",814115070,1107732041,1921847111,200000000
Doctor Strange in the Multiverse of Madness,"May 6, 2022",411331607,544444197,955775804,200000000
Thor: Love and Thunder,"July 8, 2022",343256830,417671251,760928081,250000000
Black Panther: Wakanda Forever,"November 11, 2022",453829060,405379776,859208836,250000000
Ant-Man and the Wasp: Quantumania,"February 17, 2023",214504909,261566271,476071180,326600000
Guardians of the Galaxy Vol. 3,"May 5, 2023",358995815,486559962,845555777,250000000
The Marvels,"November 10, 2023",84500223,121636334,206136557,274800000
Deadpool & Wolverine,"July 26, 2024",563703366,597933034,1161636400,200000000
