Film,Runtime
Iron Man,126
The Incredible Hulk,112
Iron Man 2,124
Thor,115
Captain America: The First Avenger,124
The Avengers,143
Iron Man 3,130
Thor: The Dark World,112
Captain America: The Winter Soldier,136
Guardians of the Galaxy,122
Avengers: Age of Ultron,141
Ant-Man,117
Captain America: Civil War,147
Doctor Strange,115
Guardians of the Galaxy Vol. 2,137
Spider-Man: Homecoming,133
Thor: Ragnarok,130
Black Panther,134
Avengers: Infinity War,149
Ant-Man and The Wasp,118
Captain Marvel,124
Avengers: Endgame,181
Spider-Man: Far From Home,129
Black Widow,134
Shang-Chi and The Legend of The Ten Rings,132
Eternals,156
Spider-Man: No Way Home,148
Doctor Strange in the Multiverse of Madness,126
Thor: Love and Thunder,119
Black Panther: Wakanda Forever,161
Ant-Man and The Wasp: Quantumania,125
Guardians of the Galaxy Vol. 3,149
The Marvels,105
Deadpool & Wolverine,128
